col,files,constant_files,near_constant_files,low_discrete_files,zero_rate_mean,nunique_mean,std_mean,constant_ratio,near_constant_ratio,low_discrete_ratio
delta_valid_mask,12,0,0,12,0.9992926185804242,2.0,0.026572299975830233,0.0,0.0,1.0
cpu_dist_missing,36,0,0,36,0.9511532557736088,2.0,0.2155436667076708,0.0,0.0,1.0
tail_cpu_dist_missing,36,0,0,36,0.9511532557736088,2.0,0.2155436667076708,0.0,0.0,1.0
evict_count,24,0,0,24,0.9408094932517331,2.0,0.23597947662601113,0.0,0.0,1.0
lost_count,24,0,0,24,0.768594987574383,2.0,0.42173638426066584,0.0,0.0,1.0
abnormal_nonfail_count,24,0,0,24,0.7053784444265871,2.0,0.45587914821028935,0.0,0.0,1.0
abnormal_nonfail_flag,24,0,0,24,0.7053784444265871,2.0,0.45587914821028935,0.0,0.0,1.0
ms_cpi_missing,48,0,0,48,0.6324527797460174,2.0,0.4821440991225556,0.0,0.0,1.0
ms_mpi_missing,48,0,0,48,0.6324527797460174,2.0,0.4821440991225556,0.0,0.0,1.0
record_count,48,0,0,32,0.993964098461865,2.3333333333333335,0.07760938824619612,0.0,0.0,0.6666666666666666
sched_frac_1,36,0,0,0,0.7527941247914344,3.0,0.4313121511408463,0.0,0.0,0.0
sched_frac_0,36,0,0,0,0.6921315987228995,3.0,0.4615602995822209,0.0,0.0,0.0
sched_frac_2,36,0,0,0,0.6404256649961844,3.0,0.47984668341071784,0.0,0.0,0.0
ms_cpi_coverage,36,0,0,0,0.6298534170041489,3.0,0.48182537406959713,0.0,0.0,0.0
ms_mpi_coverage,36,0,0,0,0.6298534170041489,3.0,0.48182537406959713,0.0,0.0,0.0
gap_since_prev,12,0,0,0,0.4766211085812713,4632.666666666667,0.5602153641936748,0.0,0.0,0.0
ms_mpi_mean,48,0,0,0,0.36953621024834876,1094.8333333333333,0.4724158641722815,0.0,0.0,0.0
ms_cpi_mean,48,0,0,0,0.36784014390030056,1088.1666666666667,0.48457925663806733,0.0,0.0,0.0
prio_min,36,0,0,0,0.28912895649916054,20.0,1.236206276475646,0.0,0.0,0.0
prio_max,36,0,0,0,0.2891092130310312,20.0,1.2362919105822396,0.0,0.0,0.0
prio_mean,36,0,0,0,0.2890895253956376,24.666666666666668,1.2361607963584906,0.0,0.0,0.0
cpu_dist_9,36,0,0,0,0.0846447296200644,1260.25,1.5972151988838867,0.0,0.0,0.0
tail_cpu_dist_0,36,0,0,0,0.0846447296200644,1189.0,1.484859784860731,0.0,0.0,0.0
tail_cpu_dist_1,36,0,0,0,0.0846447296200644,1177.4166666666667,1.4679450874998599,0.0,0.0,0.0
tail_cpu_dist_2,36,0,0,0,0.0846447296200644,1188.0,1.4178554297420203,0.0,0.0,0.0
tail_cpu_dist_3,36,0,0,0,0.0846447296200644,1198.75,1.4033154832598382,0.0,0.0,0.0
tail_cpu_dist_4,36,0,0,0,0.0846447296200644,1191.9166666666667,1.3730132688454153,0.0,0.0,0.0
tail_cpu_dist_5,36,0,0,0,0.0846447296200644,1181.75,1.324764886332491,0.0,0.0,0.0
cpu_dist_6,36,0,0,0,0.07489551084700125,1167.3333333333333,2.1291366201379205,0.0,0.0,0.0
cpu_dist_10,36,0,0,0,0.07370084632260147,1293.1666666666667,1.1341619937173864,0.0,0.0,0.0
cpu_dist_4,36,0,0,0,0.06886145382230081,1104.1666666666667,2.3927995227991823,0.0,0.0,0.0
cpu_dist_5,36,0,0,0,0.06886145382230081,1117.9166666666667,2.2278485215073114,0.0,0.0,0.0
cpu_dist_1,36,0,0,0,0.05783119902171771,992.0833333333334,10.299249458604415,0.0,0.0,0.0
cpu_dist_2,36,0,0,0,0.05612005686378442,1048.5833333333333,7.028963344727729,0.0,0.0,0.0
ms_req_cpu_mean,36,0,0,0,0.05601598196155439,1334.4166666666667,1.8105707778278755,0.0,0.0,0.0
tail_cpu_dist_6,36,0,0,0,0.053004310872589326,1166.9166666666667,1.2840132746063238,0.0,0.0,0.0
cpu_dist_8,36,0,0,0,0.05136662670610651,1227.25,1.8637673352595248,0.0,0.0,0.0
cpu_dist_0,36,0,0,0,0.050331494762668384,805.8333333333334,13.279088025157924,0.0,0.0,0.0
cpu_dist_3,36,0,0,0,0.049873863732990784,1081.75,3.566717541513854,0.0,0.0,0.0
cpu_dist_7,36,0,0,0,0.04976344813801319,1207.5,2.0415873611334914,0.0,0.0,0.0
tail_cpu_dist_7,36,0,0,0,0.04964471872376923,1138.0833333333333,1.207268114001616,0.0,0.0,0.0
tail_cpu_dist_8,36,0,0,0,0.049442500932763284,1067.0833333333333,1.1253962978351932,0.0,0.0,0.0
ms_avg_cpu_mean,48,0,0,0,0.03579798539367331,1173.5,2.043189611971623,0.0,0.0,0.0
ms_page_cache_memory_mean,36,0,0,0,0.021957278720730236,794.25,1.0463901502685677,0.0,0.0,0.0
ms_max_mem_max,48,0,0,0,0.014277866366846942,1148.0,3.6071122159269904,0.0,0.0,0.0
ms_avg_mem_mean,48,0,0,0,0.0032306723773867833,1190.8333333333333,4.005013449931918,0.0,0.0,0.0
mem_gap,36,0,0,0,0.003071793067891,2101.0833333333335,2.692158160038482,0.0,0.0,0.0
ms_max_cpu_max,48,0,0,0,0.002131548368693117,1222.4166666666667,1.298266418487647,0.0,0.0,0.0
ms_assigned_memory_mean,36,0,0,0,0.0017709664304380748,764.6666666666666,4.186847990437766,0.0,0.0,0.0
ms_req_mem_mean,36,0,0,0,0.0009204414566942833,1219.0,3.579806366812,0.0,0.0,0.0
cpu_gap,36,0,0,0,0.0001525994205438865,3102.5,1.7153433251830066,0.0,0.0,0.0
